company,card_name,title,url,file_size_bytes,page_count,local_path
Shinhan,Air One,(선택)아멕스 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00792_amex_platinum_classicplus.pdf,710146,3,datasets/pdfs\shinhan\manuals\Shinhan_Air One_선택아멕스 플래티늄.pdf
Shinhan,Hi-Point,(공통)마스터카드 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01197_master_platinum_basic.pdf,546471,4,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_공통마스터카드 플래티늄.pdf
Shinhan,Hi-Point,(공통)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01204_visa_platinum_basic.pdf,519118,3,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_공통비자 플래티늄.pdf
Shinhan,Hi-Point,(선택)마스터카드 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00785_master_platinum_1_old.pdf,679554,3,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_선택마스터카드 플래티늄.pdf
Shinhan,Hi-Point,(선택)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00775_visa_platinum_1_old.pdf,679627,3,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_선택비자 플래티늄.pdf
Shinhan,Point Plan,(공통)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01204_visa_platinum_basic.pdf,519118,3,datasets/pdfs\shinhan\manuals\Shinhan_Point Plan_공통비자 플래티늄.pdf
Shinhan,Point Plan,(선택)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00776_visa_platinum_1_new.pdf,706103,3,datasets/pdfs\shinhan\manuals\Shinhan_Point Plan_선택비자 플래티늄.pdf
Shinhan,Simple,(공통)JCB(URS) 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01210_jcb_platinum_basic.pdf,480910,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_공통JCBURS 플래티늄.pdf
Shinhan,Simple,(공통)UPI 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01205_upi_platinum_basic.pdf,502770,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_공통UPI 플래티늄.pdf
Shinhan,Simple,(공통)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01204_visa_platinum_basic.pdf,519118,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_공통비자 플래티늄.pdf
Shinhan,Simple,(선택)JCB(URS) 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00798_jcb_platinum_1_platinumsO.pdf,693993,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_선택JCBURS 플래티늄.pdf
Shinhan,Simple,(선택)UPI 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00803_upi_platinum_1_platinums.pdf,698168,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_선택UPI 플래티늄.pdf
Shinhan,Simple,(선택)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00776_visa_platinum_1_new.pdf,706103,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_선택비자 플래티늄.pdf
